model,checkpoint_path,checkpoint_step,benchmark,pair_scope,target,probability,matching_fields,differing_fields,left_index,right_index,left_givenname,right_givenname,left_surname,right_surname,left_suburb,right_suburb,left_postcode,right_postcode,left_fullname,right_fullname,left_email,right_email,left_phone,right_phone,left_addr,right_addr,left_dob,right_dob,left_census_year,right_census_year,left_full_name,right_full_name,left_first_name,right_first_name,left_middle_name,right_middle_name,left_patronym,right_patronym,left_birthyear,right_birthyear,left_sex,right_sex,left_status,right_status,left_marriagestatus,right_marriagestatus,left_farm,right_farm,left_county,right_county,left_parish,right_parish,left_district,right_district,left_title,right_title,left_authors,right_authors,left_venue,right_venue,left_year,right_year,left_name,right_name,left_city,right_city,left_type,right_type,left_brand,right_brand,left_modelno,right_modelno,left_category,right_category,left_price,right_price,left_description,right_description,left_manufacturer,right_manufacturer,left_price_text,right_price_text,left_price_numeric,right_price_numeric
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99988914,2,"surname, postcode",470,726,james,james,monson,carrothers,fayetteville,fayetteville,28304,28301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99988914,2,"surname, postcode",470,727,james,james,monson,carrothers,fayetteville,fayetteville,28304,28301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99988914,2,"surname, postcode",470,728,james,james,monson,carrothers,fayetteville,fayetteville,28304,28301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99986315,1,"surname, suburb, postcode",470,729,james,james,monson,carrothers,fayetteville,fayettevville,28304,28309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99900925,1,"givenname, surname, postcode",358,565,angela,shari,bradshaw,daye,burlington,burlington,27217,27215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99900925,1,"givenname, surname, postcode",359,565,angela,shari,bradshaw,daye,burlington,burlington,27217,27215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99900925,1,"givenname, surname, postcode",360,565,angela,shari,bradshaw,daye,burlington,burlington,27217,27215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99900925,1,"givenname, surname, postcode",361,565,angela,shari,bradshaw,daye,burlington,burlington,27217,27215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.9988696,2,"givenname, surname",209,407,mar9aret,benjam:n,knowlea,woplston,hertford,hertford,27944,27944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.9987447,1,"givenname, surname, postcode",145,660,hernert,na5hea,harrig,merritt,greenville,greenville,27834,278s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99870574,2,"surname, postcode",28,752,christopher,christopher,orr,fortini,charlotte,charlotte,28226,28202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99870574,2,"surname, postcode",28,753,christopher,christopher,orr,fortini,charlotte,charlotte,28226,28202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99870574,2,"surname, postcode",28,754,christopher,christopher,orr,fortini,charlotte,charlotte,28226,28202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99870574,2,"surname, postcode",29,752,christopher,christopher,orr,fortini,charlotte,charlotte,28226,28202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99870574,2,"surname, postcode",29,753,christopher,christopher,orr,fortini,charlotte,charlotte,28226,28202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99870574,2,"surname, postcode",29,754,christopher,christopher,orr,fortini,charlotte,charlotte,28226,28202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99870574,2,"surname, postcode",30,752,christopher,christopher,orr,fortini,charlotte,charlotte,28226,28202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99870574,2,"surname, postcode",30,753,christopher,christopher,orr,fortini,charlotte,charlotte,28226,28202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99870574,2,"surname, postcode",30,754,christopher,christopher,orr,fortini,charlotte,charlotte,28226,28202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_shared,all_pairs,False,0.99870574,2,"surname, postcode",31,752,christopher,christopher,orr,fortini,charlotte,charlotte,28226,28202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.9997559,1,"givenname, surname, postcode",490,622,maetha,gloria,pickleah,hancck,albemarle,albemarle,28001,2800|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_wag,results/model_checkpoints/20260715_195803_seed1337_20005214_best_step1500.pt,1500,nc_voters_changed,all_pairs,False,0.99962556,0,"givenname, surname, suburb, postcode",622,744,gloria,alfreta,hancck,penn-coston,albemarle,elizabeth city,2800|,27109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
